n,computed_sum,formula_value,agrees,interpretation
1,1,1,True,"supporting finite evidence, not a substitute for proof"
2,3,3,True,"supporting finite evidence, not a substitute for proof"
3,6,6,True,"supporting finite evidence, not a substitute for proof"
4,10,10,True,"supporting finite evidence, not a substitute for proof"
5,15,15,True,"supporting finite evidence, not a substitute for proof"
6,21,21,True,"supporting finite evidence, not a substitute for proof"
7,28,28,True,"supporting finite evidence, not a substitute for proof"
8,36,36,True,"supporting finite evidence, not a substitute for proof"
9,45,45,True,"supporting finite evidence, not a substitute for proof"
10,55,55,True,"supporting finite evidence, not a substitute for proof"
11,66,66,True,"supporting finite evidence, not a substitute for proof"
12,78,78,True,"supporting finite evidence, not a substitute for proof"
13,91,91,True,"supporting finite evidence, not a substitute for proof"
14,105,105,True,"supporting finite evidence, not a substitute for proof"
15,120,120,True,"supporting finite evidence, not a substitute for proof"
16,136,136,True,"supporting finite evidence, not a substitute for proof"
17,153,153,True,"supporting finite evidence, not a substitute for proof"
18,171,171,True,"supporting finite evidence, not a substitute for proof"
19,190,190,True,"supporting finite evidence, not a substitute for proof"
20,210,210,True,"supporting finite evidence, not a substitute for proof"
21,231,231,True,"supporting finite evidence, not a substitute for proof"
22,253,253,True,"supporting finite evidence, not a substitute for proof"
23,276,276,True,"supporting finite evidence, not a substitute for proof"
24,300,300,True,"supporting finite evidence, not a substitute for proof"
25,325,325,True,"supporting finite evidence, not a substitute for proof"
26,351,351,True,"supporting finite evidence, not a substitute for proof"
27,378,378,True,"supporting finite evidence, not a substitute for proof"
28,406,406,True,"supporting finite evidence, not a substitute for proof"
29,435,435,True,"supporting finite evidence, not a substitute for proof"
30,465,465,True,"supporting finite evidence, not a substitute for proof"
31,496,496,True,"supporting finite evidence, not a substitute for proof"
32,528,528,True,"supporting finite evidence, not a substitute for proof"
33,561,561,True,"supporting finite evidence, not a substitute for proof"
34,595,595,True,"supporting finite evidence, not a substitute for proof"
35,630,630,True,"supporting finite evidence, not a substitute for proof"
36,666,666,True,"supporting finite evidence, not a substitute for proof"
37,703,703,True,"supporting finite evidence, not a substitute for proof"
38,741,741,True,"supporting finite evidence, not a substitute for proof"
39,780,780,True,"supporting finite evidence, not a substitute for proof"
40,820,820,True,"supporting finite evidence, not a substitute for proof"
41,861,861,True,"supporting finite evidence, not a substitute for proof"
42,903,903,True,"supporting finite evidence, not a substitute for proof"
43,946,946,True,"supporting finite evidence, not a substitute for proof"
44,990,990,True,"supporting finite evidence, not a substitute for proof"
45,1035,1035,True,"supporting finite evidence, not a substitute for proof"
46,1081,1081,True,"supporting finite evidence, not a substitute for proof"
47,1128,1128,True,"supporting finite evidence, not a substitute for proof"
48,1176,1176,True,"supporting finite evidence, not a substitute for proof"
49,1225,1225,True,"supporting finite evidence, not a substitute for proof"
50,1275,1275,True,"supporting finite evidence, not a substitute for proof"
51,1326,1326,True,"supporting finite evidence, not a substitute for proof"
52,1378,1378,True,"supporting finite evidence, not a substitute for proof"
53,1431,1431,True,"supporting finite evidence, not a substitute for proof"
54,1485,1485,True,"supporting finite evidence, not a substitute for proof"
55,1540,1540,True,"supporting finite evidence, not a substitute for proof"
56,1596,1596,True,"supporting finite evidence, not a substitute for proof"
57,1653,1653,True,"supporting finite evidence, not a substitute for proof"
58,1711,1711,True,"supporting finite evidence, not a substitute for proof"
59,1770,1770,True,"supporting finite evidence, not a substitute for proof"
60,1830,1830,True,"supporting finite evidence, not a substitute for proof"
61,1891,1891,True,"supporting finite evidence, not a substitute for proof"
62,1953,1953,True,"supporting finite evidence, not a substitute for proof"
63,2016,2016,True,"supporting finite evidence, not a substitute for proof"
64,2080,2080,True,"supporting finite evidence, not a substitute for proof"
65,2145,2145,True,"supporting finite evidence, not a substitute for proof"
66,2211,2211,True,"supporting finite evidence, not a substitute for proof"
67,2278,2278,True,"supporting finite evidence, not a substitute for proof"
68,2346,2346,True,"supporting finite evidence, not a substitute for proof"
69,2415,2415,True,"supporting finite evidence, not a substitute for proof"
70,2485,2485,True,"supporting finite evidence, not a substitute for proof"
71,2556,2556,True,"supporting finite evidence, not a substitute for proof"
72,2628,2628,True,"supporting finite evidence, not a substitute for proof"
73,2701,2701,True,"supporting finite evidence, not a substitute for proof"
74,2775,2775,True,"supporting finite evidence, not a substitute for proof"
75,2850,2850,True,"supporting finite evidence, not a substitute for proof"
76,2926,2926,True,"supporting finite evidence, not a substitute for proof"
77,3003,3003,True,"supporting finite evidence, not a substitute for proof"
78,3081,3081,True,"supporting finite evidence, not a substitute for proof"
79,3160,3160,True,"supporting finite evidence, not a substitute for proof"
80,3240,3240,True,"supporting finite evidence, not a substitute for proof"
81,3321,3321,True,"supporting finite evidence, not a substitute for proof"
82,3403,3403,True,"supporting finite evidence, not a substitute for proof"
83,3486,3486,True,"supporting finite evidence, not a substitute for proof"
84,3570,3570,True,"supporting finite evidence, not a substitute for proof"
85,3655,3655,True,"supporting finite evidence, not a substitute for proof"
86,3741,3741,True,"supporting finite evidence, not a substitute for proof"
87,3828,3828,True,"supporting finite evidence, not a substitute for proof"
88,3916,3916,True,"supporting finite evidence, not a substitute for proof"
89,4005,4005,True,"supporting finite evidence, not a substitute for proof"
90,4095,4095,True,"supporting finite evidence, not a substitute for proof"
91,4186,4186,True,"supporting finite evidence, not a substitute for proof"
92,4278,4278,True,"supporting finite evidence, not a substitute for proof"
93,4371,4371,True,"supporting finite evidence, not a substitute for proof"
94,4465,4465,True,"supporting finite evidence, not a substitute for proof"
95,4560,4560,True,"supporting finite evidence, not a substitute for proof"
96,4656,4656,True,"supporting finite evidence, not a substitute for proof"
97,4753,4753,True,"supporting finite evidence, not a substitute for proof"
98,4851,4851,True,"supporting finite evidence, not a substitute for proof"
99,4950,4950,True,"supporting finite evidence, not a substitute for proof"
100,5050,5050,True,"supporting finite evidence, not a substitute for proof"
