sequence,index,value,mod_2,mod_3,mod_5,first_difference
fibonacci,0,0,0,0,0,
fibonacci,1,1,1,1,1,1
fibonacci,2,1,1,1,1,0
fibonacci,3,2,0,2,2,1
fibonacci,4,3,1,0,3,1
fibonacci,5,5,1,2,0,2
fibonacci,6,8,0,2,3,3
fibonacci,7,13,1,1,3,5
fibonacci,8,21,1,0,1,8
fibonacci,9,34,0,1,4,13
fibonacci,10,55,1,1,0,21
fibonacci,11,89,1,2,4,34
fibonacci,12,144,0,0,4,55
fibonacci,13,233,1,2,3,89
fibonacci,14,377,1,2,2,144
fibonacci,15,610,0,1,0,233
fibonacci,16,987,1,0,2,377
fibonacci,17,1597,1,1,2,610
fibonacci,18,2584,0,1,4,987
fibonacci,19,4181,1,2,1,1597
fibonacci,20,6765,1,0,0,2584
fibonacci,21,10946,0,2,1,4181
fibonacci,22,17711,1,2,1,6765
fibonacci,23,28657,1,1,2,10946
fibonacci,24,46368,0,0,3,17711
fibonacci,25,75025,1,1,0,28657
fibonacci,26,121393,1,1,3,46368
fibonacci,27,196418,0,2,3,75025
fibonacci,28,317811,1,0,1,121393
fibonacci,29,514229,1,2,4,196418
lucas,0,2,0,2,2,
lucas,1,1,1,1,1,-1
lucas,2,3,1,0,3,2
lucas,3,4,0,1,4,1
lucas,4,7,1,1,2,3
lucas,5,11,1,2,1,4
lucas,6,18,0,0,3,7
lucas,7,29,1,2,4,11
lucas,8,47,1,2,2,18
lucas,9,76,0,1,1,29
lucas,10,123,1,0,3,47
lucas,11,199,1,1,4,76
lucas,12,322,0,1,2,123
lucas,13,521,1,2,1,199
lucas,14,843,1,0,3,322
lucas,15,1364,0,2,4,521
lucas,16,2207,1,2,2,843
lucas,17,3571,1,1,1,1364
lucas,18,5778,0,0,3,2207
lucas,19,9349,1,1,4,3571
lucas,20,15127,1,1,2,5778
lucas,21,24476,0,2,1,9349
lucas,22,39603,1,0,3,15127
lucas,23,64079,1,2,4,24476
lucas,24,103682,0,2,2,39603
lucas,25,167761,1,1,1,64079
lucas,26,271443,1,0,3,103682
lucas,27,439204,0,1,4,167761
lucas,28,710647,1,1,2,271443
lucas,29,1149851,1,2,1,439204
pell,0,0,0,0,0,
pell,1,1,1,1,1,1
pell,2,2,0,2,2,1
pell,3,5,1,2,0,3
pell,4,12,0,0,2,7
pell,5,29,1,2,4,17
pell,6,70,0,1,0,41
pell,7,169,1,1,4,99
pell,8,408,0,0,3,239
pell,9,985,1,1,0,577
pell,10,2378,0,2,3,1393
pell,11,5741,1,2,1,3363
pell,12,13860,0,0,0,8119
pell,13,33461,1,2,1,19601
pell,14,80782,0,1,2,47321
pell,15,195025,1,1,0,114243
pell,16,470832,0,0,2,275807
pell,17,1136689,1,1,4,665857
pell,18,2744210,0,2,0,1607521
pell,19,6625109,1,2,4,3880899
pell,20,15994428,0,0,3,9369319
pell,21,38613965,1,2,0,22619537
pell,22,93222358,0,1,3,54608393
pell,23,225058681,1,1,1,131836323
pell,24,543339720,0,0,0,318281039
pell,25,1311738121,1,1,1,768398401
pell,26,3166815962,0,2,2,1855077841
pell,27,7645370045,1,2,0,4478554083
pell,28,18457556052,0,0,2,10812186007
pell,29,44560482149,1,2,4,26102926097
